show_id,episode_id,name,url,season,number,type,airdate,airtime,airstamp,runtime
51914,1969722,Equilibrium,https://www.tvmaze.com/episodes/1969722/kings-of-joburg-1x04-equilibrium,1,4.0,regular,2020-12-04,,2020-12-04,56.0
51914,1969723,We Are Brothers,https://www.tvmaze.com/episodes/1969723/kings-of-joburg-1x05-we-are-brothers,1,5.0,regular,2020-12-04,,2020-12-04,47.0
51914,1969724,The Sacrifice,https://www.tvmaze.com/episodes/1969724/kings-of-joburg-1x06-the-sacrifice,1,6.0,regular,2020-12-04,,2020-12-04,66.0
51915,1976336,Stamp og familieforøkelse,https://www.tvmaze.com/episodes/1976336/fjols-til-fjells-1x03-stamp-og-familieforokelse,1,3.0,regular,2020-12-04,,2020-12-04,22.0
51966,1976661,Beating Hearts,https://www.tvmaze.com/episodes/1976661/influencers-1x03-beating-hearts,1,3.0,regular,2020-12-04,,2020-12-04,30.0
51971,1974081,Episode 1,https://www.tvmaze.com/episodes/1974081/wish-you-1x01-episode-1,1,1.0,regular,2020-12-04,,2020-12-04,11.0
51971,1974818,Episode 2,https://www.tvmaze.com/episodes/1974818/wish-you-1x02-episode-2,1,2.0,regular,2020-12-04,,2020-12-04,12.0
51971,2246078,Wish You Talk Live Episode 1,https://www.tvmaze.com/episodes/2246078/wish-you-s01-special-wish-you-talk-live-episode-1,1,,insignificant_special,2020-12-04,,2020-12-04,23.0
52124,1976644,Episode 1,https://www.tvmaze.com/episodes/1976644/bhaag-beanie-bhaag-1x01-episode-1,1,1.0,regular,2020-12-04,,2020-12-04,32.0
52124,1979235,Episode 2,https://www.tvmaze.com/episodes/1979235/bhaag-beanie-bhaag-1x02-episode-2,1,2.0,regular,2020-12-04,,2020-12-04,30.0
52124,1979236,Episode 3,https://www.tvmaze.com/episodes/1979236/bhaag-beanie-bhaag-1x03-episode-3,1,3.0,regular,2020-12-04,,2020-12-04,29.0
52124,1979237,Episode 4,https://www.tvmaze.com/episodes/1979237/bhaag-beanie-bhaag-1x04-episode-4,1,4.0,regular,2020-12-04,,2020-12-04,27.0
52124,1979238,Episode 5,https://www.tvmaze.com/episodes/1979238/bhaag-beanie-bhaag-1x05-episode-5,1,5.0,regular,2020-12-04,,2020-12-04,29.0
52124,1979239,Episode 6,https://www.tvmaze.com/episodes/1979239/bhaag-beanie-bhaag-1x06-episode-6,1,6.0,regular,2020-12-04,,2020-12-04,26.0
52165,1977868,Episódio 3,https://www.tvmaze.com/episodes/1977868/a-generala-1x03-episodio-3,1,3.0,regular,2020-12-04,12:00,2020-12-04,60.0
